Vessel Name,Flag State,Vessel Type,IRCS,IMO #,FFA ID,Length Overall,Gross Weight,VDS Reg No.,Valid From,Valid To
SEIN PHOENIX,KR,Reefer Carrier,D8SP,9047271,36907,134.02,7326.00,RCKR-2025-0596,2025-02-04,2026-02-03
SEIN PRINCESS,PA,Reefer Carrier,3FTJ4,8609981,36675,124.70,4963.00,RCPA-2025-0393,2025-01-01,2025-12-31
SEIN QUEEN,KR,Reefer Carrier,D7MY,8807430,36543,136.83,5893.00,RCKR-2025-0451,2025-01-13,2026-01-12
SEIN SAPPHIRE,KR,Reefer Carrier,D7JK,9045168,37325,134.02,7303.00,RCKR-2025-0639,2025-04-09,2026-04-08
SEIN SKY,KR,Reefer Carrier,DSRO7,8813623,36483,124.70,5469.00,RCKR-2025-0452,2025-01-13,2026-01-12
SEIN SPRING,KR,Reefer Carrier,DSRO8,8911607,33427,120.70,4429.00,RCKR-2025-0690,2025-07-15,2026-07-14
SEIN TOPAZ,KR,Reefer Carrier,D7NH,9047245,37336,134.02,7313.00,RCKR-2025-0669,2025-06-05,2026-06-04
SEIN VENUS,KR,Reefer Carrier,D7BO,8906808,35907,115.00,5286.00,RCKR-2025-0453,2025-01-13,2026-01-12
SEITA MARU,PA,Reefer Carrier,3E3457,9920435,37046,108.46,4992.00,RCPA-2025-0535,2025-08-23,2026-08-22
SERENA 1,VU,Single Purse Seiner,YJRJ7,9220299,34460,79.89,2031.00,PSVU-2025-0135,2025-01-01,2025-12-31
SERENA 2,VU,Single Purse Seiner,YJUD2,8996102,35122,89.21,2386.00,PSVU-2025-0134,2025-01-01,2025-12-31
SHEN GANG FA 15,CN,Long Liner,BZXD52,9731107,36493,38.85,302.00,LLCN-2025-0398,2025-01-01,2025-12-31
SHEN GANG FA 16,CN,Long Liner,BZXD53,9731119,36494,38.85,302.00,LLCN-2025-0399,2025-01-01,2025-12-31
SHEN GANG FA 17,CN,Long Liner,BZXD54,9731133,36495,38.85,302.00,LLCN-2025-0400,2025-01-01,2025-12-31
SHEN GANG FA 18,CN,Long Liner,BZXD55,9731145,36496,38.85,302.00,LLCN-2025-0401,2025-01-01,2025-12-31
SHEN GANG FA 19,CN,Long Liner,BZXD56,9741463,36506,38.85,302.00,LLCN-2025-0402,2025-01-01,2025-12-31
SHEN GANG FA 715,CN,Long Liner,BZXD62,9741243,36507,38.85,302.00,LLCN-2025-0403,2025-01-01,2025-12-31
SHEN GANG FA 716,CN,Long Liner,BZXD63,9741475,36502,38.85,302.00,LLCN-2025-0404,2025-01-01,2025-12-31
SHEN GANG FA 718,CN,Long Liner,BZXD65,9741487,36504,38.85,302.00,LLCN-2025-0518,2025-01-01,2025-12-31
SHEN GANG FA 719,CN,Long Liner,BZXD66,9741499,36505,38.85,302.00,LLCN-2025-0405,2025-01-01,2025-12-31
SHEN GANG FA 720,CN,Long Liner,BZXD69,9787209,36685,38.85,302.00,LLCN-2025-0406,2025-01-01,2025-12-31
SHEN LIAN CHENG 601,CN,Long Liner,BZXC7,9990492,37100,24.10,138.00,LLCN-2025-0379,2025-01-01,2025-12-31
SHEN LIAN CHENG 602,CN,Long Liner,BZXC13,1076680,37225,26.00,150.00,LLCN-2025-0528,2025-01-03,2025-12-31
SHEN LIAN CHENG 710,CN,Long Liner,BZXC15,8655344,35516,25.31,117.00,LLCN-2025-0367,2025-01-01,2025-12-31
SHEN LIAN CHENG 760,CN,Long Liner,BZXC32,8655150,36212,30.24,194.00,LLCN-2025-0368,2025-01-01,2025-12-31
SHEN LIAN CHENG 761,CN,Long Liner,BZXC33,8655162,36208,30.24,194.00,LLCN-2025-0369,2025-01-01,2025-12-31
SHEN LIAN CHENG 781,CN,Long Liner,BZXV2,9821902,36769,30.42,149.00,LLCN-2025-0370,2025-01-01,2025-12-31
